order_id,product,category,region,sales_amount,quantity,order_date
1,Laptop,Electronics,East,496,2,2023-12-03
2,Phone,Electronics,North,590,4,2023-06-15
3,Desk,Electronics,West,1519,1,2023-03-03
4,Phone,Furniture,East,668,1,2023-11-15
5,Desk,Furniture,East,1469,4,2023-05-01
6,Chair,Electronics,West,1936,1,2023-11-04
7,Chair,Furniture,East,1938,1,2023-01-27
8,Laptop,Electronics,South,1195,2,2023-11-11
9,Chair,Electronics,South,673,2,2023-09-27
10,Desk,Electronics,North,866,3,2023-07-22
11,Chair,Furniture,South,1285,4,2023-01-22
12,Desk,Furniture,South,1088,5,2023-12-15
13,Desk,Electronics,East,1129,5,2023-11-03
14,Phone,Furniture,North,473,2,2023-01-21
15,Desk,Electronics,West,1895,2,2023-09-20
16,Phone,Furniture,East,1006,1,2023-12-19
17,Tablet,Furniture,West,376,1,2023-08-05
18,Tablet,Furniture,South,343,1,2023-12-21
19,Phone,Electronics,North,1234,3,2023-02-01
20,Desk,Furniture,West,1373,5,2023-01-07
21,Desk,Furniture,North,1646,5,2023-09-27
22,Tablet,Electronics,South,764,4,2023-07-07
23,Tablet,Electronics,West,333,3,2023-12-13
24,Laptop,Furniture,South,1335,4,2023-07-31
25,Laptop,Electronics,West,789,3,2023-11-28
26,Chair,Electronics,West,510,1,2023-09-30
27,Desk,Furniture,North,480,1,2023-02-16
28,Desk,Furniture,South,276,5,2023-06-19
29,Chair,Electronics,South,1447,3,2023-01-30
30,Desk,Furniture,West,160,2,2023-04-22
31,Phone,Furniture,South,1542,3,2023-08-29
32,Laptop,Furniture,South,109,5,2023-03-26
33,Laptop,Electronics,East,395,2,2023-02-21
34,Desk,Furniture,South,988,4,2023-12-08
35,Tablet,Electronics,South,1228,1,2023-09-08
36,Laptop,Furniture,South,425,1,2023-07-27
37,Desk,Furniture,North,1406,3,2023-12-24
38,Chair,Electronics,West,1738,3,2023-05-10
39,Chair,Furniture,North,389,5,2023-03-13
40,Desk,Electronics,East,869,5,2023-09-05
41,Tablet,Furniture,East,177,3,2023-08-19
42,Tablet,Furniture,South,1346,3,2023-07-01
43,Phone,Electronics,West,1376,5,2023-10-31
44,Chair,Furniture,South,858,5,2023-03-17
45,Desk,Furniture,East,1208,2,2023-05-28
46,Desk,Furniture,South,206,1,2023-05-04
47,Chair,Furniture,East,1056,1,2023-03-24
48,Chair,Furniture,West,1569,5,2023-01-28
49,Chair,Electronics,North,293,1,2023-08-08
50,Laptop,Electronics,South,1520,5,2023-10-03
51,Tablet,Electronics,West,1193,2,2023-03-06
52,Chair,Furniture,North,1352,4,2023-10-14
53,Chair,Furniture,West,1839,5,2023-08-28
54,Chair,Furniture,South,996,1,2023-03-31
55,Desk,Electronics,West,331,5,2023-12-08
56,Desk,Electronics,West,1312,5,2023-07-25
57,Laptop,Furniture,North,1560,2,2023-07-16
58,Phone,Furniture,North,364,1,2023-10-01
59,Phone,Electronics,North,112,5,2023-04-07
60,Laptop,Furniture,South,354,3,2023-11-13
61,Phone,Electronics,East,1645,3,2023-01-19
62,Phone,Electronics,West,1272,3,2023-10-10
63,Phone,Electronics,North,1148,4,2023-09-23
64,Laptop,Furniture,West,1614,5,2023-11-27
